Título,Link,Classificaçao
A Baratinha - Galinha Pintadinha 1 - OFICIAL - YouTube,https://youtu.be/l7VsurR48Ew,HIPERESTIMULANTE
Aos olhos do Pai | DVD Crianças Diante do Trono,https://youtu.be/LOiQ5BvDlSw,BAIXO ESTÍMULO
"ASSIM ÓH ""DAVI E GOLIAS"" - REBECA NEMER - YouTube",https://youtu.be/5I-C2EUOtx0,ESTÍMULO MODERADO
Atirei o pau no gato - Galinha Pintadinha 2 - OFICIAL - YouTube,https://youtu.be/0hhz7KSEIAE,BAIXO ESTÍMULO
"Bento e Totó - Anda pra Frente, Anda pra Trás (Desenho Infantil) - YouTube",https://youtu.be/DTofkuwUidk,HIPERESTIMULANTE
Bento e Totó - Dança a Minha Dança (Desenho Infantil) - YouTube,https://youtu.be/u8WJM6zp-rw,HIPERESTIMULANTE
Bento e Totó - Funk do Patinho (Desenho Infantil) - YouTube,https://youtu.be/sO0HTmrNV9k,HIPERESTIMULANTE
Bento e Totó - O Patinho Colorido (Desenho Infantil) - YouTube,https://youtu.be/ZL9pTiY1RPg,HIPERESTIMULANTE
Bento e Totó - Troca a Letra (Desenho Infantil) - YouTube,https://youtu.be/o2AHJk8uhg8,HIPERESTIMULANTE
"Bento e Totó - Voa, Abelhinha (Desenho Infantil) - YouTube",https://youtu.be/fMM1jcxeDS4,HIPERESTIMULANTE
BOLOFOFOS | Tá na hora do PAPA - YouTube,https://youtu.be/kgA_WFHjRQA,HIPERESTIMULANTE
"Cabeça, Ombro, Joelho e Pé - 3 Palavrinhas - VOLUME 7 - YouTube",https://youtu.be/8SYB8f76mKc,HIPERESTIMULANTE
"Chuá, Chuá - DVD Aline Barros e Cia - YouTube",https://youtu.be/6wD9asqKwls,ESTÍMULO MODERADO
Dança do Pinguim - DVD Aline Barros e Cia - YouTube,https://youtu.be/HDMfJjhaMdE,BAIXO ESTÍMULO
Enrolados: Quando Minha Vida Vai Começar - YouTube,https://youtu.be/A7WfHKmU9tE,ESTÍMULO MODERADO
FUNK do Pão de Queijo | Bolofofos - YouTube,https://youtu.be/1BZ5s6BcvKg,ESTÍMULO MODERADO
MORTO-VIVO - Animadinhos (Música Infantil) - YouTube,https://youtu.be/ZzXnaLIkRFs,HIPERESTIMULANTE
O SABÃO - 3PALAVRINHAS - VOLUME 1 - YouTube,https://youtu.be/r87JrGEC45s,ESTÍMULO MODERADO
Palavra Cantada | Lavar as Mãos - YouTube,https://youtu.be/CaTXgmHyMSk,BAIXO ESTÍMULO
Palavra Cantada | O Leãozinho - YouTube,https://youtu.be/zt93UvnesEc,BAIXO ESTÍMULO
Palavra Cantada | Tchibum da Cabeça ao Bumbum - YouTube,https://youtu.be/v1Pv9cOy-2s,BAIXO ESTÍMULO
Patati Patatá - Minhoca (DVD O Melhor da Pré-escola) - YouTube,https://youtu.be/bA_VvQweSvo,ESTÍMULO MODERADO
Patati Patata A grama foi crescendo - YouTube,https://youtu.be/85dIq1SBUeU,BAIXO ESTÍMULO
Patinho Tuga - É Um Tal de Poc Poc Poc (Desenho Infantil) - YouTube,https://youtu.be/78xiJpPGQ5k,ESTÍMULO MODERADO
"Pedro, Tiago, João no barquinho - 3Palavrinhas - Volume 4 - YouTube",https://youtu.be/Tdwy3BZe61s,ESTÍMULO MODERADO
Pisa na Muralha - Aline Barros & Cia 3 (Oficial) - YouTube,https://youtu.be/ESxlZiPb-Gk,ESTÍMULO MODERADO
Pula Pipoquinha - Bob Zoom | Video Infantil Musical Oficial - YouTube,https://youtu.be/MgG13r2fVOw,HIPERESTIMULANTE
"Quer Brincar Na Neve? (De ""Frozen: Uma Aventura Congelante""/Com letra) - YouTube",https://youtu.be/LwX5_UpejvU,BAIXO ESTÍMULO
Roda Roda Roda (Caranguejo peixe é) - Galinha Pintadinha 3 - OFICIAL - YouTube,https://youtu.be/h9DDiQLAVW0,ESTÍMULO MODERADO
TCHUTCHUÊ| Pequenos Atos - YouTube,https://youtu.be/V_0DVnRSlRI,BAIXO ESTÍMULO
The Flintstones 1960 - 1966 Opening and Closing Theme (With Snippet) - YouTube,https://youtu.be/UL7beNWNLEQ,BAIXO ESTÍMULO
Trem de Ferro - Galinha Pintadinha 5 - OFICIAL - YouTube,https://youtu.be/CwFgf3R0nBM,HIPERESTIMULANTE
UPA CAVALINHO - Galinha Pintadinha 4 - OFICIAL - YouTube,https://youtu.be/Fn9adh4HWUU,ESTÍMULO MODERADO
Xuxa - Cinco Patinhos (Five Little Ducks) (Vídeo Oficial - XSPB 2) - YouTube,https://youtu.be/BA03cyB8Mp0,BAIXO ESTÍMULO
Xuxa - Estátua (Vídeo Oficial - XSPB 4) - YouTube,https://youtu.be/b1dYkXjj-1o,BAIXO ESTÍMULO
Xuxa - Morto-Vivo (Vídeo Oficial - XSPB 7) - YouTube,https://youtu.be/wQDEYhV6jDk,ESTÍMULO MODERADO
